"","coral_id","species","chamber_vol"
"1",46,"acr",647.317956520824
"2",53,"acr",647.458039777659
"3",52,"acr",646.90977384735
"4",45,"acr",647.159510290246
"5",57,"acr",647.45436718291
"6",47,"acr",647.210401960333
"7",51,"acr",647.212500585903
"8",43,"acr",647.260244317633
"9",50,"acr",646.664234655594
"10",54,"por",643.202551776955
"11",43,"por",641.004766148185
"12",52,"por",639.555140535321
"13",48,"por",639.231952197455
"14",46,"por",640.2623773526
"15",44,"por",634.613401973044
"16",47,"por",644.141686719781
"17",58,"por",642.432880848952
"18",51,"por",640.311170397115
"19",56,"acr",647.465384967156
"20",54,"acr",646.524151398759
"21",55,"acr",646.692041444404
"22",48,"acr",646.510510332551
"23",41,"acr",647.232437528823
"24",42,"acr",647.131703501437
"25",44,"acr",646.958042235473
"26",58,"acr",646.998965434099
"27",49,"acr",647.463286341585
"28",49,"por",642.796467729051
"29",57,"por",642.971702964193
"30",45,"por",642.574013418572
"31",56,"por",642.133302048754
"32",50,"por",640.53677264595
"33",42,"por",640.19679530352
"34",53,"por",640.878848613952
"35",55,"por",639.393021709995
"36",41,"por",643.600765978969
